UserID,Age,Gender,Location,Income,Debt,OwnsProperty,Profession,Demographics,Platform,TotalTimeSpent,NumberofSessions,VideoID,VideoCategory,VideoLength,Engagement,ImportanceScore,TimeSpentOnVideo,NumberofVideosWatched,ScrollRate,Frequency,ProductivityLoss,Satisfaction,WatchReason,DeviceType,OS,WatchTime,SelfControl,AddictionLevel,CurrentActivity,ConnectionType
22,55,Male,Barzil,27710,FALSE,FALSE,driver,Rural,Facebook,236,11,7873,Entertainment,29,2902,3,15,36,77,Afternoon,5,5,Boredom,Computer,Android,5:00 PM,7,3,Commuting,Mobile Data
23,19,Female,Indonesia,87155,TRUE,FALSE,Students,Rural,Instagram,242,10,5311,Entertainment,26,6645,4,2,48,40,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At work,Mobile Data
24,38,Female,India,33975,FALSE,FALSE,Waiting staff,Urban,Facebook,49,3,653,Pranks,14,8955,6,11,23,85,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data
25,50,Male,Germany,82424,TRUE,TRUE,Waiting staff,Rural,TikTok,162,10,5800,Jokes/Memes,7,7694,3,29,15,31,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data
26,29,Male,Japan,65603,TRUE,FALSE,Labor/Worker,Urban,TikTok,136,18,8813,Jokes/Memes,29,4830,1,14,46,48,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Wi-Fi
27,39,Male,Japan,43252,FALSE,TRUE,Students,Rural,YouTube,246,14,3791,Gaming,20,7546,1,22,44,61,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,Commuting,Mobile Data
28,61,Other,Vietnam,21431,FALSE,FALSE,Manager,Urban,Instagram,64,18,1646,Life Hacks,6,7368,9,15,3,52,Night,3,7,Habit,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi
29,42,Female,India,94603,TRUE,TRUE,Labor/Worker,Rural,TikTok,181,8,4513,Entertainment,7,9834,9,14,32,38,Evening,6,4,Boredom,Smartphone,MacOS,2:00 PM,8,2,At work,Mobile Data
30,44,Male,India,57481,TRUE,FALSE,driver,Urban,TikTok,118,10,4760,Pranks,5,2160,5,16,10,91,Evening,6,4,Entertainment,Smartphone,Android,2:00 PM,8,2,At home,Wi-Fi
31,59,Male,United States,29557,FALSE,TRUE,driver,Rural,Instagram,193,13,5875,Pranks,21,5878,9,23,40,36,Morning,8,2,Habit,Smartphone,iOS,8:00 AM,10,0,At school,Wi-Fi
32,45,Male,United States,94971,TRUE,FALSE,Students,Rural,Facebook,207,8,3689,Jokes/Memes,18,7663,7,29,38,87,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data
33,33,Male,India,20162,FALSE,TRUE,Labor/Worker,Rural,Instagram,96,4,7690,Trends,23,3749,9,15,22,55,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,Commuting,Mobile Data
34,32,Other,Mexico,54742,TRUE,FALSE,Waiting staff,Rural,Facebook,210,4,1380,Trends,12,2922,7,19,14,85,Evening,6,4,Entertainment,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
35,64,Female,Vietnam,39675,FALSE,TRUE,Students,Rural,TikTok,284,5,4244,Entertainment,6,6486,9,27,17,13,Evening,6,4,Entertainment,Tablet,iOS,2:00 PM,8,2,At school,Mobile Data
36,61,Other,Mexico,93997,TRUE,FALSE,Students,Urban,TikTok,220,1,9581,Jokes/Memes,27,8112,2,9,21,37,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi
37,20,Male,United States,37015,FALSE,TRUE,Labor/Worker,Rural,TikTok,127,17,6508,Entertainment,1,8771,8,5,48,47,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At home,Mobile Data
38,54,Male,Philippines,70057,TRUE,FALSE,Students,Urban,YouTube,200,2,7820,Jokes/Memes,4,3804,7,5,15,90,Afternoon,5,5,Boredom,Smartphone,iOS,5:00 PM,7,3,At school,Wi-Fi
39,24,Male,Barzil,52591,TRUE,TRUE,Cashier,Rural,YouTube,51,8,8594,Jokes/Memes,19,4878,6,11,15,71,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
40,38,Male,Germany,29833,FALSE,FALSE,Students,Rural,YouTube,51,7,2654,ASMR,12,2368,5,28,1,22,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,Commuting,Mobile Data
41,26,Male,Pakistan,27896,FALSE,TRUE,Waiting staff,Urban,Instagram,285,15,5612,Comedy,15,8093,4,20,24,39,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
42,56,Male,India,52972,TRUE,FALSE,Students,Urban,TikTok,26,5,6128,ASMR,3,3932,7,25,12,87,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At school,Mobile Data
43,35,Other,Indonesia,69733,TRUE,TRUE,Cashier,Rural,TikTok,292,2,3924,Life Hacks,23,5608,3,24,10,58,Morning,8,2,Entertainment,Tablet,MacOS,8:00 AM,10,0,At home,Mobile Data
44,21,Female,Pakistan,61800,TRUE,FALSE,Waiting staff,Rural,Instagram,267,7,8460,Gaming,27,6635,8,28,46,30,Night,3,7,Entertainment,Tablet,Windows,9:00 PM,5,5,At school,Mobile Data
45,42,Other,Philippines,25347,FALSE,TRUE,Labor/Worker,Urban,YouTube,72,8,5913,Gaming,28,6395,2,4,42,18,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,Commuting,Mobile Data
46,31,Female,Pakistan,79063,TRUE,FALSE,Waiting staff,Rural,Instagram,71,7,5131,Comedy,26,6101,1,20,42,18,Evening,6,4,Procrastination,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data
47,26,Male,Vietnam,22643,FALSE,TRUE,Labor/Worker,Rural,YouTube,109,7,5440,Trends,20,9292,2,18,31,74,Afternoon,5,5,Procrastination,Smartphone,MacOS,5:00 PM,7,3,At school,Mobile Data
48,43,Male,Japan,60785,TRUE,TRUE,Students,Rural,TikTok,28,14,7881,Pranks,28,9862,9,25,11,39,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At work,Mobile Data
49,19,Female,India,38681,FALSE,TRUE,Students,Rural,Facebook,26,18,6450,Trends,8,5531,5,3,16,94,Evening,6,4,Boredom,Tablet,Android,2:00 PM,8,2,At school,Wi-Fi
50,37,Male,United States,70026,TRUE,TRUE,Students,Urban,YouTube,255,6,1726,Life Hacks,11,4970,8,4,9,26,Afternoon,5,5,Procrastination,Smartphone,iOS,5:00 PM,7,3,At home,Mobile Data
51,45,Female,United States,35892,FALSE,FALSE,Waiting staff,Rural,TikTok,260,4,9305,Entertainment,16,6344,3,14,47,71,Afternoon,5,5,Entertainment,Tablet,Windows,5:00 PM,7,3,At home,Wi-Fi
52,64,Other,Mexico,67299,TRUE,TRUE,driver,Rural,TikTok,90,10,7523,Entertainment,9,8408,7,7,14,7,Evening,6,4,Entertainment,Tablet,iOS,2:00 PM,8,2,At home,Mobile Data
53,24,Male,Germany,37073,FALSE,FALSE,Students,Rural,Facebook,48,18,4785,Pranks,3,375,2,26,19,69,Evening,6,4,Boredom,Tablet,MacOS,2:00 PM,8,2,Commuting,Mobile Data
54,61,Male,Vietnam,50682,TRUE,FALSE,driver,Rural,TikTok,45,12,9473,Trends,5,7887,8,8,31,65,Afternoon,5,5,Procrastination,Computer,Android,5:00 PM,7,3,At work,Mobile Data
55,25,Other,India,34289,FALSE,FALSE,Cashier,Rural,TikTok,206,16,1233,Life Hacks,20,1609,7,24,9,46,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data
56,64,Male,Japan,27927,FALSE,FALSE,Manager,Rural,YouTube,167,7,8809,Life Hacks,14,2939,5,16,36,18,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi
57,52,Male,Indonesia,68330,TRUE,FALSE,Labor/Worker,Rural,YouTube,213,6,8339,Jokes/Memes,28,4062,4,20,39,13,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
58,31,Male,United States,86707,TRUE,TRUE,Waiting staff,Rural,Facebook,205,5,7447,Entertainment,26,1613,1,15,26,25,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data
59,34,Male,Vietnam,97454,TRUE,FALSE,Waiting staff,Rural,Facebook,225,3,4617,Vlogs,15,6578,5,7,8,8,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At school,Mobile Data
60,53,Male,Japan,85428,TRUE,FALSE,driver,Urban,TikTok,294,12,4726,Life Hacks,6,7851,9,26,24,74,Night,3,7,Habit,Smartphone,iOS,9:00 PM,5,5,At home,Mobile Data
61,57,Female,Germany,70601,TRUE,TRUE,driver,Rural,YouTube,205,15,3678,Entertainment,27,3679,4,17,8,32,Afternoon,5,5,Entertainment,Smartphone,iOS,5:00 PM,7,3,At home,Wi-Fi
62,21,Other,United States,97465,TRUE,TRUE,Waiting staff,Urban,Facebook,161,10,6288,Jokes/Memes,26,7540,9,22,19,17,Afternoon,5,5,Procrastination,Smartphone,Android,5:00 PM,7,3,Commuting,Wi-Fi
63,19,Male,United States,22539,FALSE,TRUE,Waiting staff,Rural,Facebook,23,19,8481,Entertainment,4,9488,2,22,47,79,Evening,6,4,Habit,Computer,Android,2:00 PM,8,2,At school,Mobile Data
64,23,Male,Vietnam,42669,FALSE,FALSE,Students,Rural,Instagram,155,16,1410,ASMR,8,7074,4,22,48,79,Evening,6,4,Boredom,Computer,iOS,2:00 PM,8,2,Commuting,Wi-Fi
65,59,Male,United States,90968,TRUE,FALSE,Teacher,Rural,Facebook,66,11,8206,Life Hacks,19,3996,9,12,30,48,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
66,21,Other,India,40644,FALSE,FALSE,Teacher,Rural,TikTok,220,8,257,Life Hacks,27,4786,4,18,22,63,Afternoon,5,5,Habit,Smartphone,MacOS,5:00 PM,7,3,At home,Mobile Data
67,46,Other,India,38745,FALSE,TRUE,Cashier,Rural,YouTube,277,3,1722,Gaming,5,5695,5,24,9,40,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,Commuting,Mobile Data
68,35,Male,Mexico,48228,FALSE,FALSE,Students,Rural,Facebook,219,7,1424,Trends,13,9347,8,14,44,84,Evening,6,4,Boredom,Smartphone,MacOS,2:00 PM,8,2,At home,Mobile Data
69,43,Male,Vietnam,54521,TRUE,FALSE,Artist,Rural,Instagram,26,7,4954,Life Hacks,16,6998,1,15,48,15,Night,3,7,Habit,Smartphone,MacOS,9:00 PM,5,5,At home,Wi-Fi
70,61,Female,Mexico,46928,FALSE,FALSE,Students,Rural,YouTube,295,14,2991,Gaming,1,2366,1,15,4,99,Evening,6,4,Habit,Computer,Android,2:00 PM,8,2,At home,Mobile Data
71,51,Female,Vietnam,38322,FALSE,FALSE,Students,Rural,Facebook,212,2,1196,Pranks,13,6764,9,5,37,6,Afternoon,5,5,Entertainment,Tablet,iOS,5:00 PM,7,3,At school,Mobile Data
72,27,Male,Indonesia,77714,TRUE,TRUE,Labor/Worker,Urban,Instagram,108,10,4560,Life Hacks,22,8976,9,16,8,94,Night,3,7,Boredom,Smartphone,Windows,9:00 PM,5,5,At home,Wi-Fi
73,53,Male,Vietnam,82292,TRUE,FALSE,Engineer,Rural,Facebook,288,19,4366,Comedy,11,9273,4,5,1,63,Evening,6,4,Entertainment,Computer,Windows,2:00 PM,8,2,At school,Mobile Data
74,31,Female,Germany,49055,FALSE,TRUE,Waiting staff,Urban,YouTube,218,9,1245,Jokes/Memes,21,1614,2,2,28,8,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
75,48,Other,Philippines,62891,TRUE,FALSE,driver,Rural,YouTube,138,16,6767,Jokes/Memes,8,4555,9,20,6,95,Night,3,7,Procrastination,Computer,MacOS,9:00 PM,5,5,At school,Mobile Data
76,32,Male,United States,26588,FALSE,TRUE,Labor/Worker,Rural,YouTube,297,19,5303,Jokes/Memes,25,2416,4,28,47,32,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
77,25,Female,India,26304,FALSE,FALSE,driver,Rural,TikTok,261,18,1307,Pranks,8,7288,6,25,36,45,Night,3,7,Procrastination,Smartphone,Android,9:00 PM,5,5,Commuting,Wi-Fi
78,31,Male,India,27345,FALSE,TRUE,Labor/Worker,Rural,Facebook,274,9,2403,Life Hacks,24,6862,1,9,11,52,Afternoon,5,5,Procrastination,Tablet,Android,5:00 PM,7,3,Commuting,Mobile Data
79,40,Other,Japan,49300,FALSE,FALSE,Labor/Worker,Rural,TikTok,280,16,497,Vlogs,28,3653,9,22,5,79,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At school,Wi-Fi
80,57,Male,United States,44259,FALSE,TRUE,driver,Rural,YouTube,197,13,3400,Jokes/Memes,14,6639,5,27,24,82,Night,3,7,Habit,Tablet,Windows,9:00 PM,5,5,At school,Mobile Data
81,38,Male,United States,35352,FALSE,FALSE,driver,Rural,Instagram,223,10,910,Gaming,13,496,3,9,47,13,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data
82,33,Male,Pakistan,53365,TRUE,TRUE,Labor/Worker,Urban,Facebook,292,14,373,Jokes/Memes,3,504,4,4,18,24,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At school,Mobile Data
83,62,Male,Philippines,39446,FALSE,FALSE,Students,Rural,TikTok,220,12,6237,Pranks,4,7699,1,15,20,40,Evening,6,4,Entertainment,Smartphone,MacOS,2:00 PM,8,2,Commuting,Mobile Data
84,35,Male,India,22336,FALSE,TRUE,Waiting staff,Urban,Facebook,85,19,1345,Entertainment,27,5733,9,11,28,14,Afternoon,5,5,Boredom,Smartphone,Android,5:00 PM,7,3,At work,Mobile Data
85,64,Male,Barzil,82032,TRUE,FALSE,Labor/Worker,Urban,Instagram,157,7,8516,Jokes/Memes,20,8055,8,1,13,92,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,At home,Wi-Fi
86,41,Other,India,95415,TRUE,TRUE,Waiting staff,Rural,TikTok,222,15,2432,Life Hacks,15,3216,4,18,5,75,Night,3,7,Entertainment,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi
87,43,Female,Indonesia,27521,FALSE,FALSE,Engineer,Rural,YouTube,118,16,4671,Trends,15,5688,2,29,30,70,Night,3,7,Habit,Computer,iOS,9:00 PM,5,5,At home,Wi-Fi
88,42,Other,United States,91707,TRUE,TRUE,Manager,Rural,TikTok,138,8,2785,Life Hacks,27,9600,9,1,1,62,Night,3,7,Entertainment,Computer,MacOS,9:00 PM,5,5,At home,Mobile Data
89,62,Female,United States,43481,FALSE,FALSE,Students,Rural,Facebook,19,10,9408,Jokes/Memes,21,4364,4,8,22,89,Night,3,7,Boredom,Smartphone,MacOS,9:00 PM,5,5,At work,Mobile Data
90,58,Female,Germany,38474,FALSE,TRUE,Waiting staff,Rural,Facebook,56,4,1696,Jokes/Memes,13,6042,9,25,18,61,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At school,Wi-Fi
91,46,Male,United States,66760,TRUE,FALSE,Waiting staff,Rural,Facebook,105,19,1908,Jokes/Memes,9,1477,3,16,46,1,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,At school,Mobile Data
92,32,Male,India,75718,TRUE,TRUE,Students,Rural,Facebook,112,19,4815,Jokes/Memes,28,4960,7,26,5,89,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,Commuting,Wi-Fi
93,62,Female,India,64629,TRUE,FALSE,Students,Rural,YouTube,155,15,781,Trends,25,2397,7,28,31,66,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At school,Mobile Data
94,18,Male,India,65232,TRUE,TRUE,driver,Rural,TikTok,36,14,1020,Vlogs,10,8301,4,22,6,32,Night,3,7,Boredom,Tablet,iOS,9:00 PM,5,5,At work,Wi-Fi
95,42,Other,Vietnam,87169,TRUE,TRUE,Manager,Rural,YouTube,229,1,1404,Life Hacks,29,8841,2,18,27,13,Evening,6,4,Habit,Computer,iOS,2:00 PM,8,2,At work,Wi-Fi
96,24,Other,Pakistan,70669,TRUE,TRUE,Students,Rural,YouTube,27,16,1427,Jokes/Memes,12,6194,9,22,25,33,Morning,8,2,Habit,Smartphone,Android,8:00 AM,10,0,At home,Wi-Fi
97,26,Male,United States,98021,TRUE,TRUE,Students,Urban,YouTube,176,10,8856,ASMR,14,7570,4,9,29,32,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At home,Wi-Fi
98,41,Female,United States,89184,TRUE,FALSE,Waiting staff,Urban,Facebook,91,19,5869,Jokes/Memes,1,7730,8,12,28,56,Afternoon,5,5,Entertainment,Tablet,Android,5:00 PM,7,3,At work,Mobile Data
99,18,Male,India,67945,TRUE,TRUE,Engineer,Rural,Facebook,81,3,11,ASMR,14,1499,2,19,16,24,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At work,Wi-Fi
100,61,Female,Mexico,33140,FALSE,FALSE,Waiting staff,Urban,Facebook,263,5,6331,Pranks,14,7235,8,25,12,91,Evening,6,4,Boredom,Tablet,iOS,2:00 PM,8,2,At home,Wi-Fi
101,25,Male,Germany,34357,FALSE,FALSE,Engineer,Rural,TikTok,171,9,9231,Vlogs,8,595,5,18,20,4,Afternoon,5,5,Boredom,Tablet,Android,5:00 PM,7,3,At work,Wi-Fi
102,41,Male,Germany,88673,TRUE,FALSE,Waiting staff,Rural,Instagram,47,18,2826,Jokes/Memes,16,978,7,27,18,88,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,Commuting,Mobile Data
103,28,Male,India,85633,TRUE,FALSE,Engineer,Urban,Facebook,210,11,7465,Jokes/Memes,14,730,7,5,34,23,Night,3,7,Entertainment,Smartphone,Android,9:00 PM,5,5,At school,Wi-Fi
104,34,Female,Japan,96943,TRUE,FALSE,Engineer,Rural,TikTok,209,16,3004,Gaming,1,56,9,27,23,29,Night,3,7,Habit,Tablet,Windows,9:00 PM,5,5,At work,Mobile Data
105,25,Female,India,98258,TRUE,TRUE,driver,Urban,Facebook,264,2,9268,Gaming,16,2243,3,2,45,98,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
106,52,Male,Philippines,32924,FALSE,FALSE,Labor/Worker,Rural,Facebook,188,12,7196,Comedy,18,5879,4,7,27,21,Evening,6,4,Entertainment,Smartphone,iOS,2:00 PM,8,2,At home,Mobile Data
107,52,Female,Japan,89286,TRUE,FALSE,Labor/Worker,Urban,YouTube,44,6,6721,Jokes/Memes,7,1701,4,27,49,30,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Mobile Data
108,50,Male,Barzil,94071,TRUE,TRUE,Waiting staff,Rural,YouTube,91,11,3089,Pranks,15,7229,5,10,17,90,Night,3,7,Entertainment,Smartphone,Windows,9:00 PM,5,5,At work,Wi-Fi
109,22,Male,Mexico,77326,TRUE,TRUE,Artist,Rural,YouTube,229,8,1790,Gaming,24,1286,6,15,48,20,Evening,6,4,Entertainment,Computer,Android,2:00 PM,8,2,At home,Wi-Fi
110,59,Male,Germany,50651,TRUE,TRUE,Labor/Worker,Rural,TikTok,167,12,3037,Jokes/Memes,17,8303,3,25,21,16,Night,3,7,Procrastination,Tablet,Android,9:00 PM,5,5,At work,Mobile Data
111,56,Female,India,90202,TRUE,FALSE,Waiting staff,Rural,Instagram,13,2,7378,Jokes/Memes,19,9393,4,7,40,67,Night,3,7,Entertainment,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi
112,58,Female,Barzil,68777,TRUE,FALSE,Labor/Worker,Rural,Instagram,176,9,7599,Pranks,23,947,3,28,31,49,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At home,Wi-Fi
113,45,Female,Vietnam,36994,FALSE,FALSE,Labor/Worker,Rural,TikTok,213,15,4839,Jokes/Memes,13,4121,2,5,3,58,Evening,6,4,Procrastination,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
114,24,Male,Indonesia,87263,TRUE,TRUE,Teacher,Rural,Facebook,203,2,5873,Jokes/Memes,9,6553,9,15,17,44,Evening,6,4,Boredom,Computer,Windows,2:00 PM,8,2,At home,Wi-Fi
115,26,Male,United States,79634,TRUE,FALSE,Students,Rural,TikTok,244,1,3654,Entertainment,24,757,1,20,26,25,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At school,Mobile Data
116,25,Male,Barzil,30800,FALSE,FALSE,Students,Urban,Facebook,215,10,4300,Life Hacks,24,5651,2,28,23,23,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,At school,Mobile Data
117,29,Female,Philippines,57823,TRUE,FALSE,Cashier,Rural,TikTok,159,2,9269,Entertainment,15,7273,8,20,6,59,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At work,Wi-Fi
118,51,Male,United States,83878,TRUE,FALSE,driver,Rural,TikTok,168,12,974,Life Hacks,25,3535,7,15,28,1,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At work,Wi-Fi
119,50,Other,India,38708,FALSE,TRUE,Labor/Worker,Rural,TikTok,288,8,7084,Life Hacks,26,2293,1,10,8,97,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
120,40,Female,Pakistan,32819,FALSE,FALSE,Engineer,Rural,Instagram,175,5,5495,Gaming,3,1104,5,24,45,15,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At home,Wi-Fi
121,41,Other,Vietnam,94905,TRUE,TRUE,Labor/Worker,Rural,YouTube,77,1,9492,Life Hacks,24,8853,6,26,8,81,Night,3,7,Habit,Tablet,Android,9:00 PM,5,5,At work,Mobile Data
122,54,Other,Barzil,83870,TRUE,FALSE,Labor/Worker,Rural,TikTok,97,15,3407,Gaming,1,908,5,29,19,98,Night,3,7,Habit,Tablet,iOS,9:00 PM,5,5,At home,Mobile Data
123,52,Female,Mexico,29283,FALSE,TRUE,Artist,Urban,Instagram,226,6,5151,Trends,16,6539,4,26,38,81,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,Commuting,Mobile Data
124,61,Other,India,50573,TRUE,FALSE,Waiting staff,Rural,YouTube,10,12,9351,Comedy,8,4617,1,14,29,52,Evening,6,4,Boredom,Smartphone,Windows,2:00 PM,8,2,At home,Wi-Fi
125,57,Male,United States,98707,TRUE,TRUE,driver,Rural,YouTube,144,8,3130,ASMR,29,7069,7,26,23,58,Night,3,7,Boredom,Smartphone,iOS,9:00 PM,5,5,At home,Wi-Fi
